season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta
2014-15,21401157,OKC,SAS,0,0.0,0,1.0,1.0,0.0,-17.3,-0.4,-3.9285714285714164,0.16666666666666663
2014-15,21400668,BKN,POR,1,0.0,0,1.0,1.0,0.0,-4.699999999999999,0.20000000000000007,-7.803408756979124,-0.037195121951219545
2014-15,21401149,IND,MIA,1,0.0,1,1.0,0.0,1.0,0.0,-0.10000000000000003,1.9955536431440066,0.09756097560975613
2014-15,21401150,SAS,GSW,1,0.0,1,1.0,0.0,1.0,1.299999999999999,-0.09999999999999998,-5.894578313253021,0.051552106430155176
2014-15,21401151,NYK,PHI,1,0.0,1,1.0,0.0,1.0,-12.3,-0.19999999999999998,-0.5296952515946174,0.11046511627906977
2014-15,21401148,CLE,CHI,1,0.0,0,2.0,1.0,1.0,3.5,0.20000000000000007,2.5613884107860088,0.21190476190476182
2014-15,21401147,OKC,HOU,0,0.0,0,1.0,2.0,-1.0,-5.3999999999999995,-0.30000000000000004,-2.094090648307514,0.06387921022067367
2014-15,21401152,SAC,UTA,0,0.0,1,1.0,0.0,1.0,-1.7000000000000002,0.0,-4.333042973286865,0.02041973908111172
2014-15,21401153,LAL,LAC,0,0.0,1,1.0,0.0,1.0,-19.1,-0.6000000000000001,-11.473281360737062,-0.2603174603174603
2014-15,21401138,ATL,BKN,1,0.0,1,3.0,0.0,3.0,-2.2,-0.30000000000000004,7.113670581150245,0.3621951219512195
2014-15,21401146,POR,NOP,1,1.0,1,0.0,0.0,0.0,-0.20000000000000018,0.0,3.329268292682926,0.3304878048780488
2014-15,21401145,PHX,UTA,1,0.0,0,1.0,2.0,-1.0,-5.8,-0.09999999999999998,-0.25301204819275824,0.14285714285714285
2014-15,21401139,DET,MIA,1,1.0,0,0.0,1.0,-1.0,3.6999999999999997,0.09999999999999998,1.3493975903614341,0.024999999999999967
2014-15,21401137,CHA,PHI,1,1.0,0,0.0,2.0,-2.0,1.4,0.0,6.330464716006887,0.3333333333333333
2014-15,21401140,TOR,BOS,0,1.0,1,0.0,0.0,0.0,3.6,0.19999999999999996,3.202380952380949,0.2726744186046512
2014-15,21401143,MIL,ORL,0,1.0,1,0.0,0.0,0.0,3.7,0.2,5.272231784279967,0.2654761904761904
2014-15,21401141,MEM,WAS,0,1.0,1,0.0,0.0,0.0,4.3,0.09999999999999998,2.357142857142861,0.3369047619047619
