gameId,teamId,teamCity,teamName,teamTricode,teamSlug,minutes,estimatedOffensiveRating,offensiveRating,estimatedDefensiveRating,defensiveRating,estimatedNetRating,netRating,assistPercentage,assistToTurnover,assistRatio,offensiveReboundPercentage,defensiveReboundPercentage,reboundPercentage,estimatedTeamTurnoverPercentage,turnoverRatio,effectiveFieldGoalPercentage,trueShootingPercentage,usagePercentage,estimatedUsagePercentage,estimatedPace,pace,pacePer40,possessions,PIE
0022000058,1610612749,Milwaukee,Bucks,MIL,bucks,240:00,514.3,102.9,561.3,112.3,-47.0,-9.4,0.65,2.0,17.4,0.286,0.689,0.454,12.381,12.4,0.471,0.501,1.0,0.984,21.1,105.5,87.92,105.0,0.444
0021401022,1610612751,Brooklyn,Nets,BKN,nets,315:00,524.4,104.9,524.8,105.0,-0.4,-0.1,0.674,2.07,18.1,0.29,0.506,0.415,12.195,12.2,0.481,0.529,1.0,0.979,18.59,92.95,77.46,123.0,0.545
0021401022,1610612749,Milwaukee,Bucks,MIL,bucks,315:00,524.8,105.0,524.4,104.9,0.4,0.1,0.469,1.28,12.4,0.494,0.71,0.585,14.876,14.9,0.411,0.448,1.0,0.981,18.59,92.95,77.46,121.0,0.455
0022200006,1610612751,Brooklyn,Nets,BKN,nets,240:00,529.4,105.9,637.3,127.5,-107.8,-21.6,0.55,1.38,16.2,0.226,0.571,0.404,15.686,15.7,0.506,0.542,1.0,0.991,20.4,102.0,85.0,102.0,0.392
0022200006,1610612740,New Orleans,Pelicans,NOP,pelicans,240:00,637.3,127.5,529.4,105.9,107.8,21.6,0.62,2.38,19.7,0.429,0.774,0.596,12.745,12.7,0.549,0.575,1.0,0.976,20.4,102.0,85.0,102.0,0.608
0021801055,1610612759,San Antonio,Spurs,SAS,spurs,240:00,560.6,112.1,546.9,109.4,13.7,2.7,0.488,2.0,15.3,0.24,0.792,0.51,10.101,10.1,0.523,0.568,1.0,0.955,19.5,97.5,81.25,99.0,0.524
0021801055,1610612744,Golden State,Warriors,GSW,warriors,240:00,546.9,109.4,560.6,112.1,-13.7,-2.7,0.659,2.08,20.3,0.208,0.76,0.49,13.542,13.5,0.54,0.563,1.0,0.991,19.5,97.5,81.25,96.0,0.476
0021801204,1610612752,New York,Knicks,NYK,knicks,240:00,576.5,115.3,561.2,112.2,15.3,3.1,0.585,1.6,18.6,0.2,0.623,0.455,15.306,15.3,0.619,0.639,1.0,0.99,19.6,98.0,81.67,98.0,0.534
0021801204,1610612764,Washington,Wizards,WAS,wizards,240:00,561.2,112.2,576.5,115.3,-15.3,-3.1,0.558,2.67,16.7,0.377,0.8,0.545,9.184,9.2,0.466,0.496,1.0,0.983,19.6,98.0,81.67,98.0,0.466
0022201009,1610612745,Houston,Rockets,HOU,rockets,240:00,572.2,114.4,613.4,122.7,-41.2,-8.2,0.683,1.75,20.4,0.255,0.674,0.456,16.495,16.5,0.576,0.6,1.0,0.982,19.4,97.0,80.83,97.0,0.461
