season,GAME_ID,home_abbr,away_abbr,home_win,home_b2b,away_b2b,home_rest_days,away_rest_days,rest_diff,diff_recent_margin,diff_recent_win_pct,diff_pts_pg_to_date,split_win_pct_delta,season_start_year,split,Game_Type
2014-15,21401157,OKC,SAS,0,0.0,0,1.0,1.0,0.0,-17.3,-0.4,-3.928571428571416,0.1666666666666666,2014,train,regular
2014-15,21400668,BKN,POR,1,0.0,0,1.0,1.0,0.0,-4.699999999999999,0.2,-7.803408756979124,-0.0371951219512195,2014,train,regular
2014-15,21401149,IND,MIA,1,0.0,1,1.0,0.0,1.0,0.0,-0.1,1.9955536431440064,0.0975609756097561,2014,train,regular
2014-15,21401150,SAS,GSW,1,0.0,1,1.0,0.0,1.0,1.299999999999999,-0.0999999999999999,-5.894578313253021,0.0515521064301551,2014,train,regular
2014-15,21401151,NYK,PHI,1,0.0,1,1.0,0.0,1.0,-12.3,-0.1999999999999999,-0.5296952515946174,0.1104651162790697,2014,train,regular
2014-15,21401148,CLE,CHI,1,0.0,0,2.0,1.0,1.0,3.5,0.2,2.5613884107860088,0.2119047619047618,2014,train,regular
2014-15,21401147,OKC,HOU,0,0.0,0,1.0,2.0,-1.0,-5.4,-0.3,-2.094090648307514,0.0638792102206736,2014,train,regular
2014-15,21401152,SAC,UTA,0,0.0,1,1.0,0.0,1.0,-1.7000000000000002,0.0,-4.333042973286865,0.0204197390811117,2014,train,regular
2014-15,21401153,LAL,LAC,0,0.0,1,1.0,0.0,1.0,-19.1,-0.6000000000000001,-11.473281360737062,-0.2603174603174603,2014,train,regular
2014-15,21401138,ATL,BKN,1,0.0,1,3.0,0.0,3.0,-2.2,-0.3,7.113670581150245,0.3621951219512195,2014,train,regular
2014-15,21401146,POR,NOP,1,1.0,1,0.0,0.0,0.0,-0.2000000000000001,0.0,3.329268292682926,0.3304878048780488,2014,train,regular
2014-15,21401145,PHX,UTA,1,0.0,0,1.0,2.0,-1.0,-5.8,-0.0999999999999999,-0.2530120481927582,0.1428571428571428,2014,train,regular
2014-15,21401139,DET,MIA,1,1.0,0,0.0,1.0,-1.0,3.7,0.0999999999999999,1.349397590361434,0.0249999999999999,2014,train,regular
2014-15,21401137,CHA,PHI,1,1.0,0,0.0,2.0,-2.0,1.4,0.0,6.330464716006887,0.3333333333333333,2014,train,regular
2014-15,21401140,TOR,BOS,0,1.0,1,0.0,0.0,0.0,3.6,0.1999999999999999,3.202380952380949,0.2726744186046512,2014,train,regular
2014-15,21401143,MIL,ORL,0,1.0,1,0.0,0.0,0.0,3.7,0.2,5.272231784279967,0.2654761904761904,2014,train,regular
2014-15,21401141,MEM,WAS,0,1.0,1,0.0,0.0,0.0,4.3,0.0999999999999999,2.357142857142861,0.3369047619047619,2014,train,regular
2014-15,21401142,DAL,GSW,0,0.0,0,1.0,1.0,0.0,-13.6,-0.5,-7.651462994836493,-0.0548172757475082,2014,train,regular
2014-15,21401144,DEN,LAC,0,1.0,0,0.0,2.0,-2.0,-16.2,-0.5,-8.607142857142861,-0.099437148217636,2014,train,regular
2014-15,21401134,SAS,DEN,1,0.0,0,1.0,1.0,0.0,14.7,0.4,8.102997355274752,0.4772727272727273,2014,train,regular
